
Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=100
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=128
EVALUATE_EVERY=100
FILTER_SIZES=2,3,4,5,6
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NEGATIVE_DATA_FILE=./data/rt-polaritydata/rt-polarity.neg
NUM_CHECKPOINTS=5
NUM_EPOCHS=200
NUM_FILTERS=128
POSITIVE_DATA_FILE=./data/rt-polaritydata/rt-polarity.pos

Loading data...
636 max_document
(10002, 636)
Train/Dev split: 9002/1000
Number of Class: 3
Writing to /home/g/grad/xinhao/IE_Project/runs/1494194564

2017-05-07T18:17:08.145492: step 254, loss 0.819053, acc 0.71875
2017-05-07T18:17:11.354399: step 255, loss 1.01351, acc 0.40625
2017-05-07T18:17:14.577508: step 256, loss 0.709809, acc 0.796875
2017-05-07T18:17:17.791483: step 257, loss 1.10594, acc 0.609375
2017-05-07T18:17:21.075560: step 258, loss 1.18103, acc 0.5625
2017-05-07T18:17:24.347950: step 259, loss 0.763473, acc 0.65625
2017-05-07T18:17:27.641538: step 260, loss 1.08355, acc 0.40625
2017-05-07T18:17:30.875701: step 261, loss 0.799094, acc 0.703125
2017-05-07T18:17:34.135351: step 262, loss 0.986834, acc 0.609375
2017-05-07T18:17:37.378039: step 263, loss 1.00676, acc 0.625
2017-05-07T18:17:40.638383: step 264, loss 0.591197, acc 0.859375
2017-05-07T18:17:43.902764: step 265, loss 0.742841, acc 0.75
2017-05-07T18:17:47.161345: step 266, loss 0.704466, acc 0.640625
2017-05-07T18:17:50.380699: step 267, loss 0.82281, acc 0.671875
2017-05-07T18:17:53.636026: step 268, loss 0.974783, acc 0.640625
2017-05-07T18:17:56.870120: step 269, loss 0.730708, acc 0.65625
2017-05-07T18:18:00.128583: step 270, loss 0.796892, acc 0.65625
2017-05-07T18:18:03.412592: step 271, loss 1.01203, acc 0.484375
2017-05-07T18:18:06.686175: step 272, loss 0.805168, acc 0.75
2017-05-07T18:18:09.956237: step 273, loss 0.63311, acc 0.71875
2017-05-07T18:18:13.206411: step 274, loss 0.758012, acc 0.71875
2017-05-07T18:18:16.462497: step 275, loss 1.05666, acc 0.59375
2017-05-07T18:18:19.727537: step 276, loss 0.961056, acc 0.65625
2017-05-07T18:18:22.984312: step 277, loss 0.662422, acc 0.71875
2017-05-07T18:18:26.225808: step 278, loss 0.627994, acc 0.765625
2017-05-07T18:18:29.525456: step 279, loss 1.06762, acc 0.671875
2017-05-07T18:18:32.795319: step 280, loss 0.875927, acc 0.75
2017-05-07T18:18:36.037787: step 281, loss 0.997803, acc 0.71875
2017-05-07T18:18:38.161256: step 282, loss 0.780333, acc 0.619048
2017-05-07T18:18:41.439719: step 283, loss 0.842802, acc 0.5
2017-05-07T18:18:44.674066: step 284, loss 1.11616, acc 0.328125
2017-05-07T18:18:47.915387: step 285, loss 0.960293, acc 0.59375
2017-05-07T18:18:51.146018: step 286, loss 0.849868, acc 0.65625
2017-05-07T18:18:54.408632: step 287, loss 1.10602, acc 0.71875
2017-05-07T18:18:57.679996: step 288, loss 1.4359, acc 0.234375
2017-05-07T18:19:00.945489: step 289, loss 0.699192, acc 0.703125
2017-05-07T18:19:04.192976: step 290, loss 0.776201, acc 0.71875
2017-05-07T18:19:07.442676: step 291, loss 0.931521, acc 0.78125
2017-05-07T18:19:10.709511: step 292, loss 1.55338, acc 0.65625
2017-05-07T18:19:13.971404: step 293, loss 1.16984, acc 0.703125
2017-05-07T18:19:17.198692: step 294, loss 1.28732, acc 0.59375
2017-05-07T18:19:20.433566: step 295, loss 0.694308, acc 0.734375
2017-05-07T18:19:23.667853: step 296, loss 1.15967, acc 0.234375
2017-05-07T18:19:26.927656: step 297, loss 0.818929, acc 0.71875
2017-05-07T18:19:30.205558: step 298, loss 1.06104, acc 0.5625
2017-05-07T18:19:33.457375: step 299, loss 0.754744, acc 0.671875
2017-05-07T18:19:36.712688: step 300, loss 0.866074, acc 0.625

Evaluation:
2017-05-07T18:19:55.373241: step 300, loss 0.869214, acc 0.645

2017-05-07T18:19:58.585154: step 301, loss 0.762874, acc 0.625
2017-05-07T18:20:01.872721: step 302, loss 0.811733, acc 0.609375
2017-05-07T18:20:05.154349: step 303, loss 0.681809, acc 0.703125
2017-05-07T18:20:08.441636: step 304, loss 0.762323, acc 0.765625
2017-05-07T18:20:11.710610: step 305, loss 0.84391, acc 0.625
2017-05-07T18:20:14.964727: step 306, loss 0.736134, acc 0.734375
2017-05-07T18:20:18.247237: step 307, loss 0.756581, acc 0.625
2017-05-07T18:20:21.480896: step 308, loss 0.693381, acc 0.734375
2017-05-07T18:20:24.731915: step 309, loss 0.824811, acc 0.5625
2017-05-07T18:20:27.982425: step 310, loss 0.672175, acc 0.6875
2017-05-07T18:20:31.237345: step 311, loss 0.693474, acc 0.765625
2017-05-07T18:20:34.493370: step 312, loss 0.70324, acc 0.703125
